GRID_Xe=343
GRID_Xv=173
Process uses GPU with id 0.
Starting PT loop, nbe=87653, nbv=44229
iter=93200, err=0.20013
iter=93300, err=0.199897
iter=93400, err=0.199665
iter=93500, err=0.199433
iter=93600, err=0.199201
iter=93700, err=0.198969
iter=93800, err=0.198737
iter=93900, err=0.198506
iter=94000, err=0.198274
iter=94100, err=0.198043
iter=94200, err=0.197811
iter=94300, err=0.19758
iter=94400, err=0.197349
iter=94500, err=0.197118
iter=94600, err=0.196887
iter=94700, err=0.196657
iter=94800, err=0.196426
iter=94900, err=0.196196
iter=95000, err=0.195965
iter=95100, err=0.195735
iter=95200, err=0.195505
iter=95300, err=0.195275
iter=95400, err=0.195046
iter=95500, err=0.194816
iter=95600, err=0.194586
iter=95700, err=0.194357
iter=95800, err=0.194128
iter=95900, err=0.193899
iter=96000, err=0.19367
iter=96100, err=0.193441
iter=96200, err=0.193212
iter=96300, err=0.192983
iter=96400, err=0.192755
iter=96500, err=0.192527
iter=96600, err=0.192298
iter=96700, err=0.19207
iter=96800, err=0.191842
iter=96900, err=0.191614
iter=97000, err=0.191387
iter=97100, err=0.191159
iter=97200, err=0.190932
iter=97300, err=0.190705
iter=97400, err=0.190477
iter=97500, err=0.19025
iter=97600, err=0.190023
iter=97700, err=0.189797
iter=97800, err=0.18957
iter=97900, err=0.189344
iter=98000, err=0.189117
iter=98100, err=0.188891
iter=98200, err=0.188665
iter=98300, err=0.188439
iter=98400, err=0.188213
iter=98500, err=0.187988
iter=98600, err=0.187762
iter=98700, err=0.187537
iter=98800, err=0.187312
iter=98900, err=0.187086
iter=99000, err=0.186862
iter=99100, err=0.186637
iter=99200, err=0.186412
iter=99300, err=0.186188
iter=99400, err=0.185963
iter=99500, err=0.185739
iter=99600, err=0.185515
iter=99700, err=0.185291
iter=99800, err=0.185067
iter=99900, err=0.184843
iter=100000, err=0.18462
iter=100100, err=0.184396
iter=100200, err=0.184173
iter=100300, err=0.18395
iter=100400, err=0.183727
iter=100500, err=0.183504
iter=100600, err=0.183282
iter=100700, err=0.183059
iter=100800, err=0.182837
iter=100900, err=0.182615
iter=101000, err=0.182392
iter=101100, err=0.182171
iter=101200, err=0.181949
iter=101300, err=0.181727
iter=101400, err=0.181506
iter=101500, err=0.181284
iter=101600, err=0.181063
iter=101700, err=0.180842
iter=101800, err=0.180621
iter=101900, err=0.1804
iter=102000, err=0.18018
iter=102100, err=0.179959
iter=102200, err=0.179739
iter=102300, err=0.179519
iter=102400, err=0.179299
iter=102500, err=0.179079
iter=102600, err=0.178859
iter=102700, err=0.17864
iter=102800, err=0.178421
iter=102900, err=0.178201
iter=103000, err=0.177982
iter=103100, err=0.177763
iter=103200, err=0.177545
iter=103300, err=0.177326
iter=103400, err=0.177108
iter=103500, err=0.176889
iter=103600, err=0.176671
iter=103700, err=0.176453
iter=103800, err=0.176235
iter=103900, err=0.176018
iter=104000, err=0.1758
iter=104100, err=0.175583
iter=104200, err=0.175366
iter=104300, err=0.175148
iter=104400, err=0.174932
iter=104500, err=0.174715
iter=104600, err=0.174498
iter=104700, err=0.174282
iter=104800, err=0.174066
iter=104900, err=0.17385
iter=105000, err=0.173634
iter=105100, err=0.173418
iter=105200, err=0.173202
iter=105300, err=0.172987
iter=105400, err=0.172772
iter=105500, err=0.172556
iter=105600, err=0.172341
iter=105700, err=0.172127
iter=105800, err=0.171912
iter=105900, err=0.171698
iter=106000, err=0.171483
